id,message_latency
0,5.227089
1,6.936788
2,8.105039
3,10.448933
4,10.774851
5,11.151076
6,10.730028
7,9.999037
8,9.784937
9,12.840987
10,11.242151
11,12.120008
12,12.950897
13,17.30299
14,16.285896
15,17.763853
16,17.915964
17,18.48197
18,18.951893
19,18.511056
20,17.602921
21,16.42704
22,16.036033
23,15.475989
24,16.695023
25,14.859914
26,17.153025
27,18.196106
28,17.111063
29,16.922951
30,15.154123
31,14.046908
32,11.770964
33,16.149044
34,22.372008
35,20.303011
36,19.587994
37,19.800901
38,19.654989
39,22.897958
40,29.093981
41,23.50092
42,22.603989
43,23.217917
44,25.759935
45,25.994062
46,26.047945
47,23.785115
48,25.371075
49,43.647051
50,45.361042
51,47.564983
52,46.980858
53,47.81413
54,47.055006
55,47.670126
56,47.332049
57,46.842098
58,46.114921
59,47.443152
60,46.386003
61,54.751873
62,55.677891
63,56.241989
64,55.025101
65,55.079937
66,53.575993
67,52.958965
68,51.923037
69,52.317143
70,52.649021
71,52.119017
72,53.867102
73,56.07295
74,55.838108
75,55.455208
76,55.649996
77,56.38194
78,56.272984
79,56.672096
80,57.651043
81,58.506966
82,58.21991
83,57.756901
84,58.269024
85,59.218169
86,57.527065
87,56.809187
88,55.444002
89,56.334018
90,59.710025
91,59.906006
92,59.14998
93,57.878971
94,63.887119
95,62.730074
96,60.997009
97,59.677124
98,58.882951
99,61.156034
100,58.471918
101,55.525064
102,55.387974
103,53.815126
104,52.603006
105,53.32303
106,53.227901
107,54.883956
108,53.843021
109,56.954861
110,56.612014
111,55.66907
112,55.727959
113,56.472063
114,55.050134
115,57.039022
116,59.576988
117,58.439016
118,53.230048
119,53.760052
120,59.929132
121,57.605028
122,56.933165
123,57.329893
124,57.858944
125,59.667111
126,54.563045
127,55.890083
128,55.189848
129,54.774999
130,52.510023
131,52.365065
132,51.43404
133,50.688982
134,49.610853
135,51.270962
136,49.860001
137,49.816132
138,49.535036
139,49.282789
140,48.08402
141,46.888828
142,50.528049
143,49.983978
144,49.906969
145,51.284074
146,60.088873
147,60.090065
148,59.644937
149,61.707973
150,61.193227
151,62.124967
152,61.727047
153,62.01911
154,60.128212
155,60.679912
156,60.476064
157,60.182094
158,61.191082
159,60.917854
160,56.579113
161,56.288958
162,57.578086
163,58.377981
164,57.795048
165,57.391167
166,60.142994
167,60.427189
168,60.245991
169,60.393095
170,61.270953
