id,message_latency
0,31.408072
1,36.586999
2,37.647009
3,37.51707
4,38.2092
5,42.394161
6,42.362928
7,44.800997
8,44.448137
9,43.370008
10,43.686151
11,44.547081
12,44.560909
13,44.34514
14,49.196959
15,49.932956
16,49.112081
17,51.576137
18,51.477194
19,53.569078
20,53.333044
21,64.08906
22,67.21592
23,68.470001
24,68.348884
25,69.908858
26,66.745043
27,68.599939
28,61.29098
29,60.425043
30,59.851885
31,60.251951
32,60.678006
33,63.539982
34,64.6379
35,67.078114
36,66.812039
37,64.424038
38,65.114022
39,65.911054
40,69.832087
41,70.265055
42,89.002132
43,89.604855
44,90.120077
45,90.104103
46,89.757919
47,90.862036
48,93.186856
49,94.294071
50,94.235897
51,92.498064
52,93.649149
53,94.897031
54,93.167067
55,93.882799
56,94.496011
57,98.336935
58,98.698139
59,98.623037
60,95.607043
61,95.833064
62,96.317053
63,95.44611
64,93.955994
65,97.349167
66,98.819017
67,98.523855
68,98.754883
69,97.618103
70,100.873947
71,103.423118
72,103.44696
73,102.859021
74,101.825953
75,103.198051
76,103.129863
77,105.894089
78,121.565103
79,122.706175
80,122.448921
81,122.205019
82,125.243903
83,126.193046
84,128.844977
85,131.962061
86,131.847859
87,134.092808
88,136.096
89,139.998913
90,139.904023
91,139.194012
92,143.091202
93,144.555092
94,144.540072
95,144.015074
96,144.886017
97,144.500971
98,144.309044
99,143.982887
100,141.71815
101,145.436049
102,151.885032
103,149.808884
104,148.75412
105,150.449037
106,150.03705
107,150.619984
108,150.043964
109,149.875164
110,150.464058
111,149.538041
112,152.025938
113,150.295019
114,149.133921
115,147.070885
116,147.89915
117,148.118972
118,147.355079
119,156.389951
120,157.861948
121,160.035133
122,160.480976
123,164.126873
124,162.768841
125,163.242102
126,161.350012
127,161.957026
128,162.625074
129,160.650014
130,162.719965
131,168.495893
132,170.747042
133,168.769121
134,170.250177
135,168.157101
136,166.73112
137,168.72406
138,169.340134
139,169.502973
140,169.454097
141,171.37289
142,178.298951
143,177.521944
144,176.552057
145,173.449994
146,173.835993
147,172.57309
148,172.48702
149,173.876048
150,176.29695
151,176.00298
152,175.805808
153,175.346136
154,175.071001
155,175.258875
156,176.669836
157,177.968979
158,181.622029
159,178.368091
160,180.471897
161,183.84099
162,185.868025
163,184.926033
164,184.902907
165,184.667111
166,184.885979
167,182.971001
168,182.627916
169,183.321952
170,182.442904
171,184.092045
172,187.160968
173,188.848973
174,188.560963
175,192.387104
176,192.719937
177,192.611933
178,210.496903
179,211.729049
180,211.213112
181,213.011026
182,214.262009
183,214.010954
184,216.645956
185,218.240977
186,219.663143
187,219.319105
188,221.251011
189,221.148014
190,220.419169
191,220.139981
192,220.587969
193,220.409155
194,220.723867
195,219.349862
196,221.464873
197,218.914985
198,219.477892
199,217.011929
200,216.870069
201,219.728232
202,219.456911
203,221.544981
204,221.297025
205,221.352101
206,221.300125
207,225.466013
208,226.687908
209,226.859808
210,226.500035
211,226.501941
212,226.159811
213,225.857973
214,228.569984
215,227.952004
216,228.902102
217,234.207868
218,234.247207
219,233.978033
220,232.64718
221,232.089043
222,231.839896
223,234.871149
224,234.767914
225,235.023022
226,234.418869
227,234.107018
228,232.647896
229,232.888937
230,232.903004
231,228.138924
232,228.620052
233,224.029065
234,225.891829
235,226.851941
236,227.103949
237,228.013993
238,228.766202
239,229.823112
240,228.777885
241,228.678942
242,229.15411
243,229.835987
244,229.640007
245,228.760004
246,229.205132
247,228.739976
248,228.72591
249,230.135918
250,230.855942
251,230.600834
252,230.875015
253,230.697155
254,232.848167
255,234.076977
256,233.993053
257,238.162994
258,238.337993
259,239.067077
260,237.201929
261,236.901999
262,236.633063
263,235.459089
264,234.618902
265,234.127998
266,232.67889
267,233.363867
268,234.197855
269,232.676029
270,233.833075
271,232.841969
272,232.104063
273,231.745005
274,231.350898
275,229.799032
276,231.533051
277,230.736017
278,229.372978
279,229.613066
280,229.667902
281,231.825828
282,231.571913
283,240.276813
284,237.195969
285,236.871958
286,237.688064
287,237.311125
288,238.843918
289,238.333941
290,240.784884
291,240.592957
292,266.905785
293,267.226934
294,266.494036
295,267.355919
296,267.091036
297,269.427061
298,269.105912
299,268.774032
300,268.269062
301,271.28005
302,270.47801
303,271.57402
304,271.435023
305,270.467996
306,273.962975
307,272.433043
308,270.653963
309,272.701979
310,272.243023
311,271.812916
312,274.134875
313,273.072005
314,276.306152
315,275.42305
316,279.304981
317,279.568911
318,279.630899
319,279.321909
320,281.480789
321,284.054041
322,288.951158
323,289.440871
324,289.66403
325,289.018869
326,283.120155
327,282.985926
328,284.175872
329,279.27494
330,279.085875
331,279.053926
332,278.558016
333,277.497053
334,280.158043
335,285.871982
336,285.252094
337,287.758112
338,290.46917
339,291.371107
340,290.673018
341,290.130138
342,290.318013
343,290.050983
344,291.723013
345,294.456958
346,295.120001
347,294.092179
348,293.045044
349,291.797877
350,291.403055
351,292.743922
352,291.195869
353,290.578127
354,289.062023
355,289.697885
356,289.993048
357,290.384054
358,289.093018
359,290.535926
360,289.329052
361,287.789106
362,287.286044
363,293.39385
364,293.979883
365,298.745155
366,298.614025
367,302.272081
