id,message_latency
0,3.214
1,2.174
2,6.033
3,2.458
4,2.314
5,2.3280000000000003
6,2.4299999999999997
7,2.115
8,2.556
9,2.563
10,4.04
11,3.992
12,2.386
13,2.664
14,2.132
15,2.149
16,2.477
17,2.005
18,2.3930000000000002
19,2.317
20,2.124
21,2.084
22,2.513
23,2.2659999999999996
24,2.735
25,1.98
26,2.594
27,2.471
28,2.733
29,2.063
30,2.29
31,2.8379999999999996
32,2.478
33,3.1069999999999998
34,2.166
35,2.134
36,2.314
37,2.532
38,2.06
39,2.1470000000000002
40,2.206
41,4.284
42,2.17
43,2.032
44,2.574
45,2.1229999999999998
46,2.104
47,2.1159999999999997
48,2.346
49,2.7920000000000003
50,2.1580000000000004
51,2.29
52,2.169
53,1.96
54,2.149
55,2.343
56,2.026
57,2.384
58,2.3609999999999998
59,2.297
60,1.98
61,2.0669999999999997
62,2.322
63,2.186
64,2.072
65,2.334
66,2.363
67,2.2009999999999996
68,2.2009999999999996
69,2.462
70,1.9580000000000002
71,2.513
72,2.42
73,2.282
74,2.068
75,2.585
76,3.839
77,5.955
78,2.114
79,2.278
80,2.403
81,2.343
82,2.1719999999999997
83,2.4949999999999997
84,2.029
85,1.9819999999999998
86,2.397
87,2.092
88,6.625
89,2.083
90,2.189
91,2.262
92,2.417
93,2.072
94,2.441
95,2.142
96,2.326
97,1.964
98,1.9449999999999998
99,2.454
100,2.269
101,4.233
102,2.568
103,4.221
104,2.286
105,2.161
106,2.184
107,2.32
108,2.7889999999999997
109,3.798
110,2.177
111,2.565
112,2.2520000000000002
113,2.0660000000000003
114,2.3609999999999998
115,2.322
116,2.375
117,2.072
118,2.095
119,2.372
120,2.011
121,2.142
122,2.578
123,2.13
124,2.321
125,2.332
126,2.212
127,2.497
128,2.189
129,2.4810000000000003
130,2.094
131,2.113
132,2.1919999999999997
133,2.375
134,2.057
135,2.29
136,4.445
137,2.316
138,2.388
139,3.934
140,2.072
141,2.467
142,2.488
143,2.113
144,2.317
145,2.28
146,2.113
147,2.424
148,2.241
149,2.137
150,2.0309999999999997
151,2.435
152,2.144
153,1.9680000000000002
154,2.299
155,2.46
156,2.426
157,2.373
158,2.258
159,2.097
160,2.2230000000000003
161,2.305
162,2.132
163,2.453
164,3.101
165,4.766
166,2.5669999999999997
167,4.492999999999999
168,2.52
169,2.003
170,2.797
171,2.299
172,1.987
173,2.225
174,2.088
175,2.098
176,2.1359999999999997
177,2.484
178,2.434
179,2.367
180,2.1710000000000003
181,2.049
182,2.242
183,2.2720000000000002
184,2.898
185,2.669
186,2.0010000000000003
187,2.291
188,2.366
189,2.496
190,2.048
191,2.1159999999999997
192,2.3770000000000002
193,2.579
194,2.485
195,2.104
196,2.742
197,2.06
198,2.375
199,2.379
200,5.113
201,2.407
202,2.73
203,2.7729999999999997
204,2.182
205,2.032
206,2.106
207,2.144
208,2.183
209,2.1710000000000003
210,2.351
211,2.0
212,2.315
213,2.042
214,2.307
215,2.0500000000000003
216,2.307
217,2.491
218,2.041
219,2.7680000000000002
220,2.597
221,2.072
222,2.242
223,2.052
224,2.444
225,2.421
226,2.124
227,2.699
228,2.396
229,2.084
230,2.0709999999999997
231,1.977
232,2.101
233,4.590000000000001
234,2.781
235,2.093
236,2.218
237,2.863
238,2.504
239,2.205
240,2.161
241,2.29
242,2.06
243,2.4160000000000004
244,2.154
245,2.401
246,2.456
247,2.426
248,2.005
249,2.105
250,2.593
251,2.322
252,2.206
253,2.132
254,2.1220000000000003
255,2.87
256,2.404
257,4.422
258,2.14
259,2.509
260,2.467
261,2.427
262,2.2729999999999997
263,2.003
264,4.3020000000000005
265,2.485
266,2.351
267,3.545
268,2.462
269,2.065
270,2.428
271,2.022
272,2.353
273,2.3600000000000003
274,2.375
275,2.233
276,2.3600000000000003
277,2.65
278,2.057
279,2.156
280,2.053
281,2.173
282,2.422
283,2.137
284,2.4299999999999997
285,2.655
286,2.009
287,2.285
288,1.977
289,2.29
290,2.002
291,2.094
292,2.06
293,2.213
294,2.4099999999999997
295,2.323
296,2.045
297,2.076
298,2.3930000000000002
299,5.9430000000000005
300,1.9
301,2.359
302,2.144
303,3.934
304,2.346
305,2.129
306,2.417
307,2.241
308,2.2659999999999996
309,1.99
310,2.6189999999999998
311,2.179
312,2.321
313,2.084
314,2.405
315,2.0509999999999997
316,2.4139999999999997
317,2.128
318,2.35
319,2.227
320,2.029
321,2.502
322,2.056
323,2.024
324,2.578
325,2.157
326,2.553
327,2.383
328,2.42
329,1.965
330,2.134
331,2.157
332,3.636
333,2.258
334,2.3040000000000003
335,2.59
336,2.181
337,2.3939999999999997
338,2.2569999999999997
339,1.9559999999999997
340,2.363
341,2.387
342,2.522
343,2.148
344,2.146
345,2.397
346,2.372
347,2.041
348,2.561
349,2.17
350,2.9
351,2.478
352,2.938
353,2.4250000000000003
354,2.8600000000000003
355,2.5300000000000002
356,2.761
357,2.391
358,2.241
359,2.428
360,2.274
361,2.281
362,2.29
363,4.561
364,2.072
365,2.072
366,3.04
367,2.366
368,2.277
369,2.368
370,2.1069999999999998
371,2.251
372,2.085
373,2.218
374,2.1670000000000003
375,2.0439999999999996
376,2.332
377,2.371
378,2.008
379,2.055
380,2.342
381,2.1380000000000003
382,1.9689999999999999
383,2.299
384,2.149
385,2.439
386,2.018
387,2.637
388,2.351
389,2.09
390,2.275
391,2.1879999999999997
392,2.094
393,2.502
394,2.363
395,2.092
396,2.379
397,2.518
398,4.156
399,2.2880000000000003
400,2.6310000000000002
401,2.7070000000000003
402,2.197
403,2.14
404,2.369
405,2.604
406,2.633
407,2.467
408,2.042
409,2.761
410,8.322
411,2.091
412,2.197
413,2.18
414,2.6029999999999998
415,2.601
416,2.062
417,2.378
418,2.0660000000000003
419,2.0500000000000003
420,1.9819999999999998
421,2.437
